index,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,ground_service,value_for_money,recommended,overall_rating,review,year,month,sentiment,month_year,Season,From,To
0,Family Leisure,Economy Class,Copenhagen to Geneva,2024-08-01,3.0,1.0,2.0,1.0,1.0,1,no,1.0," I cannot under any circumstances recommend SAS to any serious traveler. Unfortunately I have been forced to use SAS a lot due to specific my company’s policy and destinations served by SAS. At the end of the day, I have nothing positive to say about the airline. The service is typically very poor at the airport, from cabin personnel and bad in air service. We have been traveling a number of times with our children and I cannot for the life of me imagine a more unfriendly and unhelpful staff, who instead of assisting us with our family and kids needs would be asking us to keep the children quiet and in the seat. At our last flight, the Copenhagen ground crew insisted that we check in our stroller under bulgy luggage and put it in a large plastic bag. The only result is of course that it’s not particularly handy for luggage handlers to carry. And so it resulted in the stroller breaking. We duly received an incident report at Geneva airport and headed to the website to file the incident to SAS. However, since it was under bulky luggage we had to contact the customer service via phone and couldn’t file it online. After multiple attempts to reach the customer service via phone during our vacation, I finally managed but then was told that the deadline for filing the report has expired and SAS would not accept the claim. The final result is a broken stroller and with an airline that refuses to reimburse the damage. I cannot believe that airlines can get away with this kind of customer treatment. It’s extremely disappointing and I wish for anyone to have to endure a flight with SAS.",2024.0,8.0,Negative,2024-08,Summer,Copenhagen,Geneva
1,Couple Leisure,Premium Economy,London Heathrow to Kiruna via Stockholm,2024-06-01,2.0,5.0,3.0,1.0,1.0,2,no,4.0,"   Patchy and mainly underwhelming is the best way to describe SAS in Europe. Good bits... Food from London to Stockholm was basic but tasty (with excellent eco-friendly packaging, well done!). At Heathrow you get to use the Star Alliance lounges in T2. The United Lounge is awesome and almost makes the upgrade to premium worthwhile. Lucky really, see below! On-board crew were really wonderful. Friendly, welcoming, funny, happy to help on the 6.40am departure to Stockholm on 14th June. If only the ground staff were as good (read on). After missing our return connection due to a late departure from Kiruna, we were rebooked on the next flight without even asking. Really really impressive from the back office team (I assume). Wine on tap in the otherwise dreadful business lounge in Stockholm (terminal 5), which given the price of wine in Sweden probably pays for the upgrade on its own! Bad bits... Premium is a joke on European flights. Maybe it's better longhaul. The seats are exactly the same as economy, 3 to a row and no divider. The bulkhead seats are the only decent choice. Food on domestic flight was a very very sad bit of cardboard/bread with a moist cheese slice. Same on the return flight so it's not just a bad example. Who tested and selected that?! The business lounge in Stockholm (T5) is dreadful. Packed, tiny, drab, poor food. The terrible... Had a very very poor experience as a wheelchair traveller in Heathrow terminal 2, the worst in 16 years of disabled travel. Travelling with a wheelchair and my own crutches, the staff member on oversized baggage came over to tag my wheelchair. She repeatedly insisted that I also need to check my crutches into the hold, which would leave me with no way to walk and take away my independence for no practical reason! Luckily I travel a lot so pushed back and refused, but she was not only pretty aggressive with her point but also refused to address me in response to my questions, looking and speaking to my wife instead. It's a classic tactic that diminishes disabled people, and she continued despite me repeatedly asking her to speak to me. Truly bizarre behaviour. As you'd expect when I reached the aircraft there was no issue whatsoever taking my crutches on board, and that's where the wonderful crew really cheered us up. I'm worried that this sort of behaviour could put other disabled people off flying, which is the exact opposite of how it should be. Heathrow confirmed that the staff member is an SAS employee, so the airline really needs some disability awareness training for their staff, not that it should be necessary. So overall a really mixed bag and if you're travelling in a wheelchair do be firm on your preferences and rights.",2024.0,6.0,Positive,2024-06,Summer,London Heathrow,Kiruna
2,Solo Leisure,Business Class,Paris to Stockholm,2024-07-01,1.0,3.0,2.0,1.0,1.0,1,no,1.0,"  Overall, I paid a premium price for a third rate product. Bag drop at the airport (CdG Paris, Terminal 1) was chaotic. No Business class line was apparent, and auromated label printing machines did not work for me (or staff). There was no business class lounge, even though the SAS website claims that their is. Signage at the airport was almost non-existant. Staff did not advise where the fast lane for security was. I had to ask several times. On the plane, the cabin was cramped, and overhead luggage space was limited. The meal was limited and awkward to eat given the space available. My advice is to avoid this route, and this airline.",2024.0,7.0,Negative,2024-07,Summer,Paris,Stockholm
3,Family Leisure,Economy Class,Helsinki to Stockholm,2024-06-01,1.0,1.0,1.0,1.0,1.0,1,no,1.0, Absolutely useless - my bag was slightly overweight and the system asked to call an agent - but Scandinavian had NO AGENT available!! NEVER book with them again and save yourself the hassle.,2024.0,6.0,Neutral,2024-06,Summer,Helsinki,Stockholm
4,Family Leisure,Economy Class,Washington to Athens,2024-05-01,1.0,1.0,1.0,1.0,1.0,1,no,1.0,"   What an absolute nightmare to travel with SAS definitely my first and last time. At first there was a glitch with the website that messed up names on my ticket, customer service sorted it for me. When I got to check in they changed me additional amount because apparently the customer service person never updated the glitch at there end. Secondly, I requested and paid for a special meal for my 8 hour flight that I never received on top of that air hostess showed a rotten attitude towards when I inquired about my meal. ",2024.0,5.0,Neutral,2024-05,Spring,Washington,Athens
5,Couple Leisure,Economy Class,Copenhagen to Stockholm ,2024-05-01,1.0,1.0,1.0,1.0,1.0,1,no,1.0,  Worst airline ever. A flight that was one hour in duration was delayed by two hours. Zero information provided until the last minute. Poor service. No compensation offered despite the huge inconvenience.,2024.0,5.0,Negative,2024-05,Spring,Copenhagen,Stockholm 
6,Couple Leisure,Premium Economy,Faroe Islands to Copenhagen,2024-05-01,4.0,4.0,4.0,1.0,5.0,4,yes,7.0," Small airport and we walked to the airplane, A320 on a good condition, the first 7 rows are SAS PLUS service, the offer extra legroom but they do not block the middle seat. We departed on time. Crew was professional with no extra care. On PLUS you can have free food from Menu, bottled water and coffee. At the end of the service you can have extra coffee and a little chocolate box. Economy service have buy on board menu and free only coffee. Even in PLUS you have to pay for WiFi. Sufficient service but not to remember it.",2024.0,5.0,Positive,2024-05,Spring,Faroe Islands,Copenhagen
7,Couple Leisure,Economy Class,San Francisco to Milan via Copenhagen,2023-09-01,4.0,4.0,4.0,4.0,4.0,4,yes,9.0,"   We decided on SAS Scandinavian Airlines because they had the best airfare for our open-jaw itinerary and offered two-seat rows on the side of the cabin without having to share with a stranger in a modern and quiet aircraft. Check-in was quick and efficient at all airports in the itinerary. The cabin crew was helpful and friendly. Food was average but the entertainment offered new films which permitted me to catch up on new releases. All flights were on time and the Copenhagen airport was a revelation in cleanliness, calm and efficiency.",2023.0,9.0,Positive,2023-09,Fall,San Francisco,Milan
8,Solo Leisure,Economy Class,Bodø to Amsterdam via Oslo,2023-08-01,5.0,5.0,1.0,1.0,4.0,4,yes,9.0," In this review I won’t only be talking about my last experiences but also how they already handle an issue with my upcoming flight. I’ve almost only had great experiences with SAS. They resolve the issues I meet pretty quickly (airport closing, they already put me onto another flight to the closest airport to the one that will be closed during July, 2 months in advance. Cancelled flights due to a storm, they put me on an earlier flight with KLM just 3 hours after they let me know my flight got cancelled, and about 6 hours before I had to leave to the airport, which on my opinion is great and quick with an unpredictable storm). I’ve also had to call the service number because I had a spelling error in my name. The first employee didn’t listen correctly and also wasn’t very helpful, but when I called the second time the other employee was very kind and helpful, and corrected the mistake the first employee made without a problem. (this only proves that every business has their less great employees). I love that we get free tea or coffee during the flight, and the leg room is great. Staff was also great and kind towards me and let me view the cockpit before we took off. I always choose SAS. I only fly with another airline when I go to a destination where SAS doesn’t fly to from my airport. Only the onboard WiFi has been a little of an issue for me.",2023.0,8.0,Positive,2023-08,Summer,Bodø,Amsterdam
9,Family Leisure,Economy Class,London to Tokyo Haneda via Copenhagen,2024-04-01,2.0,1.0,1.0,2.0,1.0,1,no,1.0,  was very disappointed they off loaded my luggage in order to weight balance according to the Airport staff. No information provided had to live four days with out the essentials . The crew was rude and the food service was horrible. Food was served over 60 min of departure and no option was given.  You have to purchase the drinks. Its not a budget short haul flight. no snacks provided for 13 hour flight. Had to wait for breakfast just before landing about 10 hours. 10 g of cereal packet plain yogurt. Many passengers were staving and askes for extra bread rolls to fill them up. Dinner was just a salad. They just wait just before landing to sell the snacks. Shame. Most worst thing was one of my checked luggage was missing at Haneda airport. Staff mentioned that it may have unloaded in order to weight balance. ,2024.0,4.0,Negative,2024-04,Spring,London,Tokyo Haneda
